company,address,phone,website,emails
"Le Salon Mia","4008 Fiesta Plaza, Tampa, FL 33607, USA","(813) 353-1282",http://lesalonmia.com/,user@domain.com
"Queenie's Hair Studio","10019 N Dale Mabry Hwy Ste 200, Tampa, FL 33618, USA","(813) 834-5762",https://queeniehairstudio.com/,queeniehairstudio@gmail.com
"Salon Cypress","2746 N Florida Ave, Tampa, FL 33602, USA","(813) 512-2332",https://www.saloncypresstampa.com/,"saloncypresstampa@gmail.com, user@domain.com"
"Edge By Mystic Hair","14447 N Dale Mabry Hwy, Tampa, FL 33618, USA","(813) 963-7575",https://www.edgesalontampa.com/,"%20weloveredken@gmail.com, 20weloveredken@gmail.com"
"Sand Hair Co.","5226 N Nebraska Ave Suite 2, Tampa, FL 33603, USA","(813) 373-6121",http://sandhair.co/,"sandhairco@gmail.com, user@domain.com"
"SALON BRAZYL","11921 N Dale Mabry Hwy Ste. 9, Tampa, FL 33618, USA","(813) 789-0960",https://salonbrazyl.com/,tish@salonbrazyl.com
"South Tampa Salon","4020 W Kennedy Blvd suite 105, Tampa, FL 33609, USA","(813) 955-4329",https://www.southtampasalon.com/,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com"
"Haas Salon","4261 Henderson Blvd, Tampa, FL 33629, USA","(813) 892-0813",https://www.haassalon.com/,user@domain.com
"Dania's Hair Studio","6912 N Armenia Ave, Tampa, FL 33604, USA","(813) 515-5361",http://www.daniashairstudio.com/,daniahairstudio@icloud.com
"The Study Salon","4705 N Florida Ave, Tampa, FL 33603, USA","(813) 538-3648",https://thestudysalon.com/,"thestudyextensions@gmail.com, thestudyextensions@yahoo.com"
"Heavenly Hair and Beauty","10005 N Dale Mabry Hwy Suite 159, Tampa, FL 33618, USA","(813) 638-2139",http://www.heavenlyhairtampa.com/,"jonpinhorn.typedesign@gmail.com, filler@godaddy.com"
"Monaco Hair Salon Tampa","143 S Dale Mabry Hwy, Tampa, FL 33609, USA","(813) 870-1709",https://www.monacosalon.com/contact/hair-salon-tampa-map-and-info/?utm_source=google&utm_medium=organic&utm_campaign=gbp1_DM,baytobay@monacosalon.com
